LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3697.000000	0.000000	2965.000000	4610.000000	0.123900	0.129300	0.114244	0.308802
3698.000000	0.000000	5750.000000	4855.000000	0.559900	0.755000	0.112694	0.376750
3699.000000	1.000000	5501.000000	8640.000000	0.145100	0.147700	0.379579	0.295175
3700.000000	1.000000	8213.000000	6334.000000	0.901400	0.935700	0.089760	0.059536
3701.000000	1.000000	7629.000000	5054.000000	0.118000	0.124300	0.258064	0.203221
3702.000000	1.000000	10595.000000	10797.000000	0.882300	0.975900	0.104911	0.161283
3703.000000	1.000000	18975.000000	14895.000000	1.125000	1.165200	0.073008	0.127092
3704.000000	0.000000	556.000000	925.000000	0.662900	0.716700	0.052030	0.059878
3705.000000	1.000000	2307.000000	3802.000000	1.033900	1.026200	0.058371	0.060319
3706.000000	0.000000	572.000000	314.000000	0.572100	0.652800	0.039164	0.044352
3707.000000	0.000000	377.000000	600.000000	0.855800	0.856400	0.067133	0.060910
3708.000000	0.000000	698.000000	341.000000	0.479800	0.469500	0.102144	0.041616
3709.000000	0.000000	1198.000000	1742.000000	0.998700	0.939100	0.015129	0.048708
3710.000000	0.000000	1153.000000	94.000000	0.389000	0.457700	0.052349	0.039283
3711.000000	0.000000	493.000000	633.000000	0.562400	0.621800	0.041412	0.034262
3712.000000	0.000000	580.000000	262.000000	0.350100	0.383700	0.087379	0.038298
3713.000000	0.000000	878.000000	224.000000	0.440800	0.459700	0.062800	0.059292
3714.000000	0.000000	1607.000000	108.000000	0.472000	0.509700	0.069749	0.007691
3715.000000	0.000000	213.000000	369.000000	0.723900	0.880300	0.042189	0.032508
3716.000000	0.000000	625.000000	364.000000	0.840300	0.828500	0.036405	0.023839
3717.000000	0.000000	660.000000	1296.000000	0.960300	1.148900	0.028460	0.044142
3718.000000	0.000000	1360.000000	923.000000	0.682300	0.752800	0.032906	0.037288
3719.000000	0.000000	637.000000	666.000000	0.847200	0.875800	0.015401	0.100046
3720.000000	0.000000	759.000000	716.000000	1.387600	1.713600	0.014933	0.031471
3721.000000	0.000000	941.000000	1211.000000	0.772700	0.885800	0.023747	0.033452
3722.000000	0.000000	1420.000000	1060.000000	1.185400	0.928200	0.030415	0.189051
3723.000000	0.000000	7740.000000	11666.000000	0.120100	0.139700	0.177494	0.251904
3724.000000	1.000000	8814.000000	17256.000000	0.822800	0.905100	0.084565	0.123061
3725.000000	0.000000	9887.000000	13036.000000	0.108500	0.124900	0.104458	0.249500
3726.000000	1.000000	5599.000000	6771.000000	0.548900	0.556300	0.161524	0.124186
3727.000000	0.000000	9591.000000	17923.000000	0.116400	0.134700	0.152490	0.223729
3728.000000	1.000000	3310.000000	9136.000000	0.632900	0.613900	0.269257	0.122360
3729.000000	1.000000	5404.000000	9077.000000	0.151400	0.176800	0.264504	0.278362
3730.000000	1.000000	5981.000000	10679.000000	1.049300	1.084600	0.101697	0.100679
3731.000000	1.000000	6300.000000	9035.000000	0.120400	0.131400	0.204394	0.212798
3732.000000	1.000000	3916.000000	7917.000000	0.807300	0.831900	0.134689	0.099225
3733.000000	0.000000	6294.000000	11869.000000	0.132600	0.155600	0.102784	0.345862
3734.000000	1.000000	4538.000000	6069.000000	1.043300	1.017500	0.083117	0.084681
3735.000000	0.000000	8023.000000	7658.000000	0.160900	0.170900	0.182671	0.293872
3736.000000	1.000000	9083.000000	10336.000000	1.738000	1.792400	0.032544	0.046397
3737.000000	0.000000	4989.000000	10074.000000	0.165000	0.208600	0.184556	0.196870
