Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YBL037W	APL3		73.5	21.72	76.0	22.96		1.034	0.437		0.048	0.610											23.41	-2.408	17.795	-0.737
YBL038W	MRPL16				95.5	23.60													Abundance Low						15.88	-1.260
YBL039C	URA7		1619.5	65.38																Failed QC			13.735	-0.530		
YBL040C	ERD2		1911.0	74.61	815.5	43.61		0.427	0.028		-1.229	0.096		1	1										13.845	0.425
YBL042C	FUI1		532.0	31.36	461.0	31.91		0.867	0.079		-0.207	0.131											22.225	5.418	17.235	2.994
YBL045C	COR1		297.0	25.59	466.0	32.54		1.569	0.174		0.650	0.160				1							21.115	2.708	17.51	3.239
YBL046W			118.5	22.40	72.5	23.09		0.612	0.227		-0.709	0.534											21.325	-1.238	16.49	-1.410
YBL047C	EDE1		955.5	44.06	1017.5	52.39		1.065	0.074		0.091	0.100											17.96	2.776	12.58	-0.584
YBL051C	PIN4		141.5	22.78	112.5	23.72		0.795	0.211		-0.331	0.383											22.32	0.628	17.34	0.278
YBL052C	SAS3																		Abundance Low	Abundance Low						
YBL054W																			Abundance Low	Abundance Low						
YBL055C			51.5	21.42																Abundance Low						
YBL056W	PTC3		472.0	30.10	443.5	33.06		0.940	0.092		-0.090	0.142											15.96	-0.832	12.365	-1.716
YBL057C	PTH2																		Abundance Low	Abundance Low						
YBL058W	SHP1		235.0	24.54	252.0	27.39		1.072	0.162		0.101	0.217											19.36	0.253	14.175	-0.812
YBL059C-A																			Abundance Low	Abundance Low						
YBL059W																			Abundance Low	Abundance Low						
YBL060W																			Abundance Low	Abundance Low						
YBL061C	SKT5		184.0	23.33	76.4	22.22		0.415	0.132		-1.267	0.458		1	1								21.04	0.603	17.67	0.246
YBL063W	KIP1																		Abundance Low	Abundance Low						
YBL064C	PRX1		203.5	23.68	226.5	26.74		1.113	0.184		0.154	0.239											25.51	5.430	16.595	1.395
YBL067C	UBP13																		Abundance Low	Abundance Low						
YBL068W	PRS4		267.5	25.22	137.0	24.56		0.512	0.104		-0.965	0.292		1									16.935	-1.553	16.235	-0.025
YBL069W	AST1		53.5	21.44																Abundance Low						
YBL071W-A	KTI11		825.5	40.12	429.7	31.39		0.521	0.046		-0.942	0.127		1									13.875	-1.551	16.25	2.188
YBL072C	RPS8A		6213.0	221.73	4550.1	186.06		0.732	0.040		-0.449	0.078		1									10.475	-2.341		
YBL074C	AAR2																		Abundance Low	Abundance Low						
YBL075C	SSA3																		Abundance Low	Abundance Low						
YBL076C	ILS1		3489.5	128.36	3530.0	148.97		1.012	0.057		0.017	0.081											13.02	-0.303	12.145	-0.101
YBL079W	NUP170		160.5	23.11	109.6	22.99		0.683	0.174		-0.551	0.367													16.355	-0.217
YBL080C	PET112																		Abundance Low	Abundance Low						
YBL082C	RHK1																		Abundance Low	Abundance Low						
YBL084C	CDC27		50.5	21.41																Abundance Low						
YBL085W	BOI1		77.5	21.77	50.5	22.53		0.652	0.344		-0.618	0.761											23.84	-0.982		
YBL086C					55.0	22.73													Abundance Low						17.485	-1.228
YBL087C	RPL23A		860.5	41.25	509.5	35.28		0.592	0.050		-0.756	0.122		1									14.365	-0.918	13.55	-0.399
YBL090W	MRP21																		Abundance Low	Abundance Low						
YBL091C	MAP2		109.0	22.25	90.5	23.45		0.830	0.274		-0.268	0.476											22.235	-0.855	15.95	-1.429
YBL093C	ROX3		46.5	21.35																Abundance Low						
YBL095W																			Abundance Low	Abundance Low						
YBL097W	BRN1																		Abundance Low	Abundance Low						
YBL098W	BNA4																		Abundance Low	Abundance Low						
YBL099W	ATP1		1465.5	59.90	3176.5	133.98		2.168	0.127		1.116	0.085				1	1						23.38	8.908	22.17	9.850
YBL101C	ECM21		53.5	21.44	91.0	23.21		1.701	0.808		0.766	0.685													17.845	0.127
YBL102W	SFT2		120.0	22.22	191.5	24.57		1.596	0.360		0.674	0.325											26.435	2.801	18.13	1.778
YBL103C	RTG3																		Abundance Low	Abundance Low						
YBL104C			71.5	21.69	53.0	22.51		0.741	0.387		-0.432	0.753											23.985	-2.161		
YBL105C	PKC1		123.0	22.47	122.0	23.79		0.992	0.265		-0.012	0.386											22.365	0.040	16.58	-0.347
YBL107C																			Abundance Low	Abundance Low						
YBL111C					173.5	24.97													Abundance Low						15.78	-0.078
YBR001C	NTH2																		Abundance Low	Abundance Low						
YBR002C	RER2		353.5	26.87	356.5	28.82		1.008	0.112		0.012	0.160											16.15	-1.722	13.58	-1.233
YBR003W	COQ1		89.0	21.96	131.0	23.30		1.472	0.448		0.558	0.439											27.74	3.364	16.46	-1.440
YBR005W	RCR1		55.5	21.47																Abundance Low						
YBR006W	UGA2																		Abundance Low	Abundance Low						
YBR007C																			Abundance Low	Abundance Low						
YBR008C	FLR1																		Abundance Low	Abundance Low						
YBR009C	HHF1		2027.0	78.47	2364.0	101.57		1.166	0.067		0.222	0.083				1							65.3	51.343		
YBR010W	HHT1																		Abundance Low	Abundance Low						
YBR011C	IPP1		1221.0	52.41	993.0	51.67		0.813	0.055		-0.298	0.097		1									21.815	7.112		
YBR014C																			Abundance Low	Abundance Low					18.435	0.095
YBR015C	MNN2		129.5	22.38	68.5	22.10		0.529	0.194		-0.919	0.528											22.83	0.039		
YBR016W			68.5	21.66	81.4	22.35		1.189	0.498		0.250	0.604													16.87	-0.257
YBR017C	KAP104		277.0	25.43	158.5	24.71		0.572	0.104		-0.805	0.261		1									19.53	0.801	17.22	1.152
YBR023C	CHS3		201.5	23.88	78.3	22.32		0.389	0.120		-1.364	0.446		1	1										18.455	0.969
YBR025C			2822.0	105.68	1875.0	85.11		0.664	0.039		-0.590	0.085		1									12.855	-0.671	12.425	-0.209
YBR026C	ETR1																		Abundance Low	Abundance Low						
YBR028C			187.0	23.60	186.5	25.43		0.997	0.185		-0.004	0.268											19.25	-0.818	15.62	0.013
YBR030W																			Abundance Low	Failed QC/Abundance Low						
YBR031W	RPL4A																		Abundance Low	Abundance Low						
YBR034C	HMT1		539.0	31.88	296.5	27.69		0.550	0.061		-0.862	0.159		1									15.195	-1.234	15.275	0.358
YBR036C	CSG2		462.0	29.52	317.0	27.80		0.686	0.074		-0.543	0.157		1									16.67	-0.224	15.085	0.145
YBR037C	SCO1				71.5	22.09													Abundance Low							
YBR039W	ATP3		939.0	43.36	1613.5	72.59		1.718	0.111		0.781	0.093				1							29.05	13.960	23.5	10.777
YBR041W	FAT1																		Abundance Low	Abundance Low						
YBR042C																			Abundance Low	Abundance Low						
YBR043C	QDR3				103.5	23.06													Abundance Low						21.015	2.329
YBR046C	ZTA1		106.0	22.20	158.0	24.93		1.491	0.391		0.576	0.378											25.94	2.676	15.595	-0.244
YBR047W	FMP23																		Abundance Low	Abundance Low						
YBR048W	RPS11B																		Abundance Low	Abundance Low						
YBR049C	REB1		510.5	31.12	466.0	33.43		0.913	0.086		-0.132	0.136											16.435	-0.066	14.6	0.495
YBR052C			379.5	27.78	444.0	33.13		1.170	0.122		0.226	0.151											19.715	2.252	12.825	-1.235
YBR054W	YRO2		431.5	28.76	707.5	39.77		1.640	0.143		0.713	0.126				1							39.35	22.214	30.195	16.419
YBR055C	PRP6																		Abundance Low	Abundance Low						
YBR056W																			Abundance Low	Abundance Low						
YBR057C	MUM2																		Abundance Low	Abundance Low						
YBR058C	UBP14																		Abundance Low	Abundance Low						
YBR058C-A	TSC3		147.0	22.88	176.0	24.26		1.197	0.249		0.260	0.300											23.175	1.708	18.01	1.378
YBR059C	AKL1		155.0	23.02	176.5	25.13		1.139	0.234		0.187	0.297											21.24	0.148	23.485	7.971
YBR060C	ORC2																		Abundance Low	Abundance Low						
YBR061C	TRM7		111.5	22.29																Abundance Low			24.365	1.947		
YBR065C	ECM2																		Abundance Low	Abundance Low						
YBR066C	NRG2																		Abundance Low	Abundance Low						
YBR067C	TIP1		840.0	40.17	614.0	38.64		0.731	0.058		-0.452	0.114		1									28.955	13.471	27.91	14.111
YBR068C	BAP2		2228.0	85.38	2764.5	117.98		1.241	0.071		0.311	0.083				1							15.515	1.682		
YBR069C	TAT1		982.5	44.51	674.0	39.56		0.686	0.051		-0.544	0.107		1									16.145	1.062	16.665	2.951
YBR070C			142.5	22.60																Abundance Low						
YBR071W																			Abundance Low	Abundance Low						
YBR072W	HSP26		65.0	21.43																Failed QC						
YBR073W	RDH54		57.0	21.49																Abundance Low						
YBR077C			201.5	23.87	183.5	24.34		0.911	0.162		-0.135	0.257											18.775	-1.017	15.21	-0.142
YBR079C	RPG1		2727.0	102.44	1756.5	80.69		0.644	0.038		-0.635	0.086		1									12.735	-0.841	12.68	-0.026
YBR080C	SEC18		354.0	27.18	314.7	27.71		0.889	0.104		-0.170	0.169											17.06	-0.662	16.02	1.535
YBR081C	SPT7		69.0	21.66	60.0	22.62		0.870	0.427		-0.202	0.708											29.99	2.778		
YBR082C	UBC4		1108.5	48.85	652.2	38.23		0.588	0.043		-0.765	0.106		1									13.555	-1.347	15.9	2.387
YBR083W	TEC1																		Abundance Low	Abundance Low						
YBR084C-A	RPL19A		2554.0	96.62	1836.5	84.64		0.719	0.043		-0.476	0.086		1									12.85	-0.782	11.035	-1.607
YBR084W	MIS1		235.5	24.55	198.5	25.67		0.843	0.140		-0.247	0.240											22.545	3.388	16.22	0.696
YBR085C-A			593.0	33.02	888.9	47.33		1.499	0.115		0.584	0.111				1							20.61	4.339	21.165	7.955
YBR085W	AAC3																		Abundance Low	Abundance Low						
YBR086C	IST2		146.5	22.87	167.1	24.28		1.141	0.243		0.190	0.308											22.6	1.427	15.62	-0.104
YBR087W	RFC5		85.5	21.89																Abundance Low			26.825	2.488		
YBR088C	POL30																		Failed QC	Failed QC						
YBR089C-A	NHP6B		468.5	29.69	495.9	33.02		1.058	0.097		0.082	0.133											17.27	0.382	14.255	0.439
YBR090C			797.0	39.27	871.5	47.50		1.093	0.080		0.129	0.106											16.745	1.192	12.34	-0.892
YBR092C	PHO3		88.5	21.93																Abundance Low			33.045	9.143		
YBR093C	PHO5																		Abundance Low	Abundance Low						
YBR094W			53.0	21.44	86.5	23.14		1.632	0.791		0.707	0.700													17.63	0.015
YBR095C	RXT2		66.5	21.62																Abundance Low			28.78	3.318		
YBR096W																			Abundance Low	Abundance Low						
YBR097W	VPS15																		Abundance Low	Abundance Low						
YBR100W																			Abundance Low	Abundance Low						
YBR101C	FES1		824.0	40.06	362.0	30.56		0.439	0.043		-1.187	0.141		1	1								14.715	-0.678	14.28	-0.103
YBR102C	EXO84		68.0	21.64	70.0	22.82		1.029	0.469		0.042	0.657											22.19	-4.620	18.02	-0.693
YBR103W	SIF2																		Abundance Low	Abundance Low						
YBR104W	YMC2																		Abundance Low	Abundance Low						
YBR105C	VID24		365.5	27.15	415.0	30.69		1.135	0.119		0.183	0.151											20.12	2.521	16.67	2.277
YBR106W	PHO88		2718.5	101.85	1599.8	72.74		0.588	0.035		-0.765	0.085		1									12.615	-0.996	12.745	0.036
YBR107C	IML3																		Abundance Low	Abundance Low						
YBR109C	CMD1		1795.0	71.17	1613.0	73.03		0.899	0.054		-0.154	0.087														
YBR110W	ALG1		148.5	22.90	138.0	23.40		0.929	0.213		-0.106	0.331											24.625	3.418	16.74	-0.842
YBR111C	YSA1				56.5	22.81													Abundance Low						18.22	-0.337
YBR112C	CYC8				210.5	26.02													Failed QC						15.405	-0.109
YBR114W	RAD16																		Abundance Low	Abundance Low						
YBR115C	LYS2		680.0	35.90	3690.5	154.75		5.427	0.366		2.440	0.097				1	1						20.78	4.941	14.8	2.574
YBR117C	TKL2																		Abundance Low	Abundance Low						
YBR118W	TEF2		30699.5	1066.33	24026.0	960.68		0.783	0.041		-0.354	0.076		1									11.255	-0.748	8.73	-2.899
YBR119W	MUD1																		Abundance Low	Abundance Low						
YBR120C	CBP6		207.0	23.98	221.8	25.33		1.071	0.174		0.099	0.235											19.61	-0.039	15.395	0.360
YBR121C	GRS1		2608.0	98.41	2160.0	95.00		0.828	0.048		-0.272	0.084		1									13.615	-0.043	12.1	-0.441
YBR122C	MRPL36		167.0	23.24	229.8	25.44		1.376	0.245		0.461	0.257											21.355	0.571	14.195	-0.778
YBR123C	TFC1		52.0	21.43	51.0	22.44		0.981	0.591		-0.028	0.870														
YBR125C	PTC4																		Abundance Low	Abundance Low						
YBR126C	TPS1		1279.0	54.27	2145.5	95.19		1.677	0.103		0.746	0.089				1							21.27	6.579	16.435	3.880
YBR127C	VMA2		1868.0	73.20	1179.0	56.57		0.631	0.039		-0.664	0.089		1									11.925	-2.144	12.255	-0.809
YBR129C	OPY1																		Abundance Low	Abundance Low						
YBR130C	SHE3		165.0	23.19	163.0	25.10		0.988	0.206		-0.018	0.301											19.03	-1.739	14.355	-1.548
YBR131W	CCZ1																		Abundance Low	Abundance Low						
YBR132C	AGP2		167.5	23.02	243.0	25.94		1.451	0.252		0.537	0.251											24.425	3.099	16.935	1.175
YBR133C	HSL7																		Abundance Low	Abundance Low						
YBR135W	CKS1				226.6	25.38													Failed QC						14.505	-0.492
YBR137W					72.2	22.13													Abundance Low						16.735	-0.735
YBR138C																			Abundance Low	Abundance Low						
YBR139W																			Abundance Low	Abundance Low						
YBR140C	IRA1		53.0	21.27	97.8	22.57		1.845	0.854		0.884	0.668													16.68	0.117
YBR141C																			Abundance Low	Abundance Low						
YBR142W	MAK5		180.5	23.48	101.0	23.45		0.560	0.149		-0.838	0.384											19.155	-0.960	17.315	-0.005
YBR143C	SUP45		3019.5	112.42	2158.5	96.26		0.715	0.042		-0.484	0.084		1									11.13	-2.378	9.945	-2.592
YBR145W	ADH5																		Abundance Low	Abundance Low						
YBR149W	ARA1		100.5	22.12	243.0	27.26		2.418	0.597		1.274	0.356				1	1						33.41	9.474	32.71	17.502
YBR150C	TBS1																		Abundance Low	Abundance Low						
YBR151W	APD1		166.0	23.22	152.0	24.83		0.916	0.197		-0.127	0.310											25.465	4.681	15.11	-1.010
YBR152W	SPP381		100.0	22.11	69.5	23.02		0.695	0.277		-0.525	0.574											24.36	0.627	16.7	-1.337
YBR155W	CNS1		273.5	25.35	178.5	25.48		0.653	0.111		-0.616	0.246		1									18.735	0.189	15.3	-0.384
YBR156C	SLI15																		Abundance Low	Abundance Low						
YBR158W	AMN1																		Abundance Low	Abundance Low						
YBR159W			669.5	35.17	461.5	31.95		0.689	0.060		-0.537	0.125		1									14.005	-1.958	13.05	-1.182
YBR160W	CDC28		542.0	31.97	343.0	29.98		0.633	0.067		-0.660	0.152		1									14.755	-1.742	13.605	-0.889
YBR161W	CSH1																		Failed QC/Abundance Low	Abundance Low						
YBR162C	TOS1		423.5	28.86	199.0	26.03		0.470	0.069		-1.090	0.213		1	1								17.145	-0.179	15.3	-0.329
YBR162W-A	YSY6		124.5	22.50	59.5	21.96		0.478	0.196		-1.065	0.593											22.53	0.205	17.91	-0.127
YBR163W	DEM1																		Abundance Low	Abundance Low						
YBR164C	ARL1		408.0	28.17	235.0	25.56		0.576	0.074		-0.796	0.186		1									16.515	-0.750	16.045	0.267
YBR166C	TYR1		169.5	23.27	155.5	24.93		0.917	0.194		-0.124	0.305											22.225	1.556	15.13	-0.826
YBR167C	POP7				85.0	22.36													Abundance Low						16.81	-0.177
YBR168W	PEX32																		Abundance Low	Abundance Low						
YBR169C	SSE2		144.0	22.82	301.0	28.41		2.090	0.386		1.064	0.266				1	1						27.42	5.971	17.285	2.543
YBR170C	NPL4		175.5	23.38	148.5	24.44		0.846	0.179		-0.241	0.306											19.79	-0.674	16.225	-0.035
YBR171W	SEC66		623.5	33.87	463.5	32.05		0.743	0.065		-0.428	0.127		1									14.125	-1.999	14.27	0.010
YBR172C	SMY2		192.0	23.69	238.0	36.17		1.240	0.243		0.310	0.282											18.86	-1.018		
YBR173C	UMP1																		Abundance Low	Abundance Low						
YBR175W	SWD3																		Abundance Low	Abundance Low						
YBR176W	ECM31																		Abundance Low	Abundance Low						
YBR177C	EHT1		190.0	23.65	363.5	30.61		1.913	0.288		0.936	0.217				1							20.75	0.840	13.725	-0.662
YBR179C	FZO1		68.0	21.48	60.5	21.93		0.889	0.428		-0.169	0.694											26.375	-0.978	18.885	1.167
YBR181C	RPS6B		260.0	25.06	287.0	27.22		1.104	0.149		0.143	0.195											19.01	0.281	24.445	9.608
YBR185C	MBA1		118.0	22.20	129.5	23.16		1.097	0.285		0.134	0.374											22.69	-0.128	20.25	2.567
YBR187W			204.5	23.71	87.0	22.36		0.425	0.120		-1.233	0.407		1	1								19.895	-0.267		
YBR188C	NTC20		46.5	21.35	106.0	22.72		2.280	1.155		1.189	0.731													16.265	-0.212
YBR189W	RPS9B		8509.0	300.73																No Measurement			11.17	-1.430		
YBR191W	RPL21A		4399.0	159.50	3283.5	139.50		0.746	0.042		-0.422	0.081		1									10.39	-2.709	8.885	-3.406
YBR193C	MED8		57.5	21.50																Abundance Low						
YBR194W	SOY1																		Abundance Low	Abundance Low						
YBR195C	MSI1																		Abundance Low	Abundance Low						
YBR196C	PGI1		12656.5	443.97	9360.0	374.52		0.740	0.039		-0.435	0.077		1									14.25	1.872	12.545	0.677
YBR197C																			Abundance Low	Abundance Low						
YBR198C	TAF5																		Abundance Low	Abundance Low						
YBR199W	KTR4		84.5	21.88	72.5	22.17		0.858	0.344		-0.221	0.578											30.565	5.700		
YBR200W	BEM1		145.5	22.85	140.5	24.32		0.966	0.226		-0.050	0.337											22.135	0.895	17.72	1.410
YBR202W	CDC47		237.5	24.59	181.0	25.27		0.762	0.132		-0.392	0.251											23.285	4.726	20.71	4.685
YBR205W	KTR3		61.5	21.38																Abundance Low						
YBR207W	FTH1		412.0	28.29	173.0	24.11		0.420	0.065		-1.252	0.224		1	1								20.24	2.986	20.155	3.523
YBR208C	DUR1,2		88.0	21.93	179.5	25.84		2.040	0.587		1.028	0.415				1	1						32.61	7.914	24.26	8.376
YBR211C	AME1		61.0	21.56																Abundance Low						
YBR212W	NGR1		135.5	22.68	147.5	24.46		1.089	0.257		0.122	0.340											21.63	0.071	15.89	-0.437
YBR214W	SDS24		138.0	22.72	235.0	26.63		1.703	0.340		0.768	0.288				1							23.17	1.827	16.75	1.593
YBR215W	HPC2																		Abundance Low	Failed QC						
YBR216C	YBP1		101.5	22.13	101.5	23.45		1.000	0.318		0.000	0.458											22.1	-1.223	16.94	-0.187
YBR218C	PYC2		807.5	39.58	1854.5	83.92		2.297	0.153		1.199	0.096				1	1						17.68	2.204	12.655	0.016
YBR221C	PDB1		545.5	32.06	530.5	35.74		0.973	0.087		-0.040	0.129											22.67	6.227	19.125	5.267
YBR222C	PCS60		301.0	25.67	334.0	28.40		1.110	0.134		0.150	0.174											23.61	5.299	17.085	2.205
YBR223C	TDP1																		Abundance Low	Abundance Low						
YBR225W																			Abundance Low	Abundance Low						
YBR227C	MCX1		72.0	21.70	117.0	23.78		1.625	0.591		0.700	0.524											24.525	-1.087	17.375	0.518
YBR230C																			Abundance Low	Abundance Low						
YBR231C	SWC5																		Abundance Low	Abundance Low						
YBR233W	PBP2																		Abundance Low	Abundance Low						
YBR233W-A	DAD3		111.5	22.29																Abundance Low						
YBR234C	ARC40				839.5	46.65													Failed QC							
YBR235W																			Abundance Low	Abundance Low						
YBR236C	ABD1		75.0	21.76	75.0	23.19		1.000	0.424		0.000	0.612											24.12	-1.752	17.54	-0.341
